feature,importance
main.aqi,0.7812476972828994
components.co,0.055853990837760124
components.o3,0.041464413691177864
components.so2,0.03063653194258543
components.nh3,0.030254916685169664
components.no2,0.02313853227681985
city_name,0.021465156594245513
components.no,0.015905746079297196
components.pm10,1.9248141570926415e-05
components.pm2_5,1.3766468474009175e-05
